name,team,goals,big_chances_missed,success_ful_dribbles,total_shots,goal_conversion_percentage,rating,league,tackles,interceptions,clearances,error_lead_to_goal,blocked_shots,bigChancesCreated,assists,accuratePasses,accuratePassesPercentage,keyPasses,saves,penalty_save,saved_shots_from_inside_the_box,runs_out
Jonas Toró,sao-paulo,3,1,26,14,21.43,6.78,A/2019,26,3,2,1,0,1,1,201,78,17,,,,
Luan Santos,sao-paulo,0,0,13,4,0.0,6.78,A/2019,47,13,28,0,5,2,0,873,87,7,,,,
Richard,vasco-da-gama,0,0,14,10,0.0,6.78,A/2019,50,42,56,0,13,2,1,1031,86,9,,,,
Zé Rafael,palmeiras,5,3,41,32,15.63,6.77,A/2019,48,5,7,0,0,5,5,389,81,16,,,,
Pedro Rocha,cruzeiro,2,4,48,31,6.45,6.77,A/2019,30,7,1,0,0,3,2,398,75,17,,,,
Talles Magno,vasco-da-gama,2,3,43,20,10.0,6.77,A/2019,12,3,3,0,1,0,0,239,78,12,,,,
Tailson,santos,1,0,22,13,7.69,6.77,A/2019,5,4,1,0,0,0,0,126,78,3,,,,
Nonato,internacional,3,0,17,14,21.43,6.77,A/2019,54,23,10,0,10,0,1,745,88,19,,,,
Joel Carli,botafogo,0,0,5,6,0.0,6.77,A/2019,16,14,124,0,25,1,0,1017,83,3,,,,
Bruno Nazário,athletico-paranaense,0,1,9,13,0.0,6.77,A/2019,13,2,0,0,0,1,0,212,82,14,,,,
Marquinhos,avai,0,1,9,10,0.0,6.77,A/2019,23,36,71,0,10,0,0,444,79,0,,,,
Carlinhos,fortaleza,1,2,13,12,8.33,6.77,A/2019,37,40,78,0,6,2,2,663,78,24,,,,
Renan Lodi,athletico-paranaense,0,0,2,3,0.0,6.77,A/2019,1,3,3,0,0,1,0,112,88,3,,,,
Jonathan Alvez,internacional,0,1,0,9,0.0,6.77,A/2019,0,0,1,0,0,0,0,10,62,2,,,,
Brenner,fluminense,0,1,4,5,0.0,6.77,A/2019,7,1,1,0,0,1,0,84,87,4,,,,
Patric,atletico-mineiro,1,0,26,23,4.35,6.77,A/2019,40,18,43,0,7,6,2,810,80,25,,,,
Luciano Castan,csa,0,0,11,7,0.0,6.76,A/2019,23,35,150,0,29,0,0,1180,84,8,,,,
Wellington,athletico-paranaense,0,0,13,7,0.0,6.76,A/2019,17,30,19,0,7,3,1,1328,88,27,,,,
Maxi López,vasco-da-gama,2,0,3,5,40.0,6.76,A/2019,1,0,2,0,0,0,0,32,64,2,,,,
Maicon,atletico-mineiro,0,1,1,4,0.0,6.76,A/2019,11,2,9,0,0,3,2,118,75,14,,,,
Rafael Pereira,chapecoense,1,0,2,1,100.0,6.76,A/2019,13,16,66,0,9,0,0,475,84,6,,,,
Jackson,fortaleza,0,0,3,4,0.0,6.76,A/2019,3,15,53,0,5,0,0,437,83,1,,,,
Jádson,cruzeiro,0,0,6,6,0.0,6.76,A/2019,20,6,4,0,4,0,0,390,90,8,,,,
Neílton,internacional,1,2,15,14,7.14,6.76,A/2019,25,3,1,0,0,0,0,305,80,13,,,,
Jadson,corinthians,0,0,3,13,0.0,6.76,A/2019,2,2,3,0,0,4,1,359,86,13,,,,
Igor Rabello,atletico-mineiro,0,2,7,11,0.0,6.75,A/2019,33,34,115,0,27,1,1,986,84,4,,,,
Pablo,sao-paulo,3,2,7,21,14.29,6.75,A/2019,5,2,12,0,0,0,1,157,74,11,,,,
Thuler,flamengo,0,0,6,0,0.0,6.75,A/2019,14,8,47,0,12,0,0,402,86,0,,,,
José Welison,atletico-mineiro,0,0,18,9,0.0,6.75,A/2019,22,12,25,0,7,0,0,480,80,6,,,,
Luccas Claro,fluminense,0,0,0,1,0.0,6.75,A/2019,2,3,5,0,2,0,0,73,82,0,,,,
Nenê Bonilha,fortaleza,0,0,6,5,0.0,6.75,A/2019,4,2,2,0,0,0,0,115,85,3,,,,
Lucas Romero,cruzeiro,0,0,13,3,0.0,6.75,A/2019,16,16,9,0,2,1,0,431,89,5,,,,
Léo Moura,gremio,0,0,25,2,0.0,6.75,A/2019,20,9,19,0,2,3,1,958,89,16,,,,
Osvaldo,fortaleza,7,4,42,35,20.0,6.75,A/2019,27,20,10,0,0,5,5,331,77,23,,,,
Jonny Mosquera,avai,0,0,2,4,0.0,6.75,A/2019,9,14,4,0,2,0,0,255,89,2,,,,
Matheus Fernandes,palmeiras,1,0,9,3,33.33,6.75,A/2019,16,10,6,0,2,1,0,217,84,7,,,,
Patrick,gremio,2,0,12,8,25.0,6.74,A/2019,13,2,1,0,0,0,0,132,87,8,,,,
Léo,cruzeiro,0,0,0,2,0.0,6.74,A/2019,24,20,69,0,19,0,0,813,89,4,,,,
Romarinho,fortaleza,3,2,81,21,14.29,6.74,A/2019,17,6,4,0,0,8,4,516,84,39,,,,
Gilberto,fluminense,0,0,31,25,0.0,6.74,A/2019,61,32,41,1,10,3,2,1031,83,33,,,,
Marcelo Hermes,goias,0,0,6,4,0.0,6.74,A/2019,17,9,9,0,4,1,4,151,75,16,,,,
Douglas,avai,0,0,5,7,0.0,6.74,A/2019,3,0,0,0,0,2,1,261,78,14,,,,
Lucca,bahia,0,1,14,19,0.0,6.74,A/2019,16,8,6,0,0,0,0,280,80,15,,,,
Rodriguinho,cruzeiro,1,0,4,4,25.0,6.74,A/2019,5,1,0,0,0,1,0,113,83,4,,,,
Marcos Vinicius,botafogo,1,0,3,3,33.33,6.74,A/2019,1,0,1,0,0,0,0,33,86,0,,,,
Fabinho,ceara-sc,1,2,23,13,7.69,6.74,A/2019,57,57,43,0,17,1,0,1235,82,19,,,,
Renato,chapecoense,0,2,6,11,0.0,6.74,A/2019,13,15,16,0,2,0,0,133,71,9,,,,
Alison,santos,0,0,2,9,0.0,6.74,A/2019,64,39,24,0,8,0,1,596,83,9,,,,
Yago,goias,0,0,3,1,0.0,6.74,A/2019,7,10,74,0,12,0,0,346,88,2,,,,
Robson Bambu,athletico-paranaense,0,1,6,4,0.0,6.74,A/2019,2,7,24,0,2,0,0,323,83,2,,,,
Bryan,chapecoense,0,0,9,3,0.0,6.74,A/2019,19,10,26,0,2,0,0,180,77,5,,,,
Darlan,gremio,0,0,9,4,0.0,6.74,A/2019,16,6,8,0,2,3,1,442,90,12,,,,
Lucas Mineiro,vasco-da-gama,0,1,11,10,0.0,6.74,A/2019,10,3,11,0,5,1,0,295,85,4,,,,
Rômulo,gremio,2,2,1,9,22.22,6.74,A/2019,18,8,18,0,1,0,0,601,90,8,,,,
Felippe Cardoso,ceara-sc,2,4,22,21,9.52,6.73,A/2019,14,4,8,0,1,0,1,183,77,19,,,,
Miguel Borja,palmeiras,1,1,2,11,9.09,6.73,A/2019,2,0,2,0,1,0,1,63,72,4,,,,
Miguel Silveira,fluminense,0,0,3,0,0.0,6.73,A/2019,1,1,0,0,0,0,0,15,68,3,,,,
Auremir,ceara-sc,0,0,1,0,0.0,6.73,A/2019,7,2,2,0,2,0,0,170,85,3,,,,
Felipe Araruna,fortaleza,0,0,4,1,0.0,6.73,A/2019,14,10,8,0,2,1,0,220,84,8,,,,
Raphael Veiga,palmeiras,3,0,6,18,16.67,6.73,A/2019,7,6,5,0,1,0,2,250,88,12,,,,
Márcio Azevedo,athletico-paranaense,1,0,18,5,20.0,6.73,A/2019,23,14,23,0,2,6,3,835,84,34,,,,
Jefferson,goias,1,1,36,12,8.33,6.73,A/2019,50,30,70,0,4,0,2,819,78,33,,,,
João Carlos,csa,0,0,0,0,0.0,6.73,A/2019,0,0,5,0,0,0,0,126,54,0,35,0,17,0
Carlos Augusto,corinthians,1,1,15,6,16.67,6.73,A/2019,17,13,40,0,7,0,0,455,81,13,,,,
Rafael Galhardo,gremio,2,0,3,6,33.33,6.73,A/2019,21,15,25,0,5,3,3,522,87,9,,,,
Joao Lucas,flamengo,0,0,2,0,0.0,6.73,A/2019,3,5,6,0,0,0,0,67,75,0,,,,
Luanderson Silva,avai,0,0,9,3,0.0,6.73,A/2019,21,22,24,1,6,0,0,373,87,2,,,,
Edílson,cruzeiro,0,0,8,8,0.0,6.72,A/2019,16,16,17,0,4,0,0,362,81,8,,,,
Júnior Urso,corinthians,3,3,23,26,11.54,6.72,A/2019,42,20,19,0,6,0,0,823,87,15,,,,
Douglas Moreira,fluminense,0,0,10,1,0.0,6.72,A/2019,19,9,1,0,1,0,0,158,90,2,,,,
Felipe Ferreira,vasco-da-gama,0,0,2,6,0.0,6.72,A/2019,3,1,0,0,0,1,0,102,83,7,,,,
Gérson,csa,0,0,1,4,0.0,6.72,A/2019,13,7,52,0,5,0,0,170,83,1,,,,
Michel,corinthians,1,0,11,1,100.0,6.72,A/2019,7,11,17,0,1,0,0,310,85,6,,,,
Moisés,bahia,0,0,32,18,0.0,6.72,A/2019,66,27,57,1,7,6,2,920,82,29,,,,
Mayke,palmeiras,0,0,2,0,0.0,6.72,A/2019,3,4,7,0,3,0,0,141,85,2,,,,
Gustavo Campanharo,chapecoense,2,0,32,17,11.76,6.72,A/2019,51,21,14,0,1,1,1,662,89,27,,,,
Ricardo Oliveira,atletico-mineiro,2,9,6,26,7.69,6.72,A/2019,4,2,8,0,2,5,2,174,80,13,,,,
Bergson,ceara-sc,3,8,10,38,7.89,6.71,A/2019,17,4,6,0,1,4,1,144,70,8,,,,
Clayson,corinthians,3,0,47,26,11.54,6.71,A/2019,30,17,12,0,2,6,7,649,80,42,,,,
Luiz Felipe,santos,0,0,0,1,0.0,6.71,A/2019,5,2,14,0,4,0,0,189,88,0,,,,
Mauricio Ramos,chapecoense,1,0,1,4,25.0,6.71,A/2019,15,20,56,0,16,0,0,285,80,1,,,,
Pará,santos,0,0,4,1,0.0,6.71,A/2019,28,18,23,0,3,0,0,612,86,4,,,,
Vinicius Lima,ceara-sc,1,2,21,23,4.35,6.71,A/2019,22,12,4,0,1,2,1,294,83,12,,,,
Ricardo Graça,vasco-da-gama,1,0,2,6,16.67,6.71,A/2019,30,25,74,0,14,1,0,542,81,1,,,,
Alecsandro,csa,2,3,7,24,8.33,6.71,A/2019,5,4,11,0,5,0,0,143,65,6,,,,
Pepê,gremio,8,10,43,36,22.22,6.7,A/2019,24,10,7,0,2,3,3,483,83,18,,,,
André,gremio,2,6,17,19,10.53,6.7,A/2019,9,4,13,0,0,3,2,179,78,11,,,,
Marlone,goias,2,1,12,10,20.0,6.7,A/2019,7,5,6,0,1,0,0,230,88,7,,,,
Felipe Jonatan,santos,2,3,14,18,11.11,6.7,A/2019,19,21,11,0,4,5,0,274,78,13,,,,
Hyoran,palmeiras,1,5,7,15,6.67,6.7,A/2019,6,1,4,0,0,2,3,85,83,9,,,,
Walter Montoya,gremio,0,0,0,3,0.0,6.7,A/2019,3,2,1,0,0,1,1,104,86,1,,,,
Rodrigo Dourado,internacional,0,0,0,0,0.0,6.7,A/2019,2,5,3,0,0,0,0,38,82,0,,,,
Johnny,internacional,0,0,1,0,0.0,6.7,A/2019,0,0,0,0,0,0,0,9,81,0,,,,
Juan,sao-paulo,0,0,0,1,0.0,6.7,A/2019,0,0,2,0,0,0,0,6,100,1,,,,
Bruno Silva,chapecoense,0,0,1,1,0.0,6.7,A/2019,0,0,0,0,0,0,0,3,50,1,,,,
Miguel Ferreira,goias,0,0,1,0,0.0,6.7,A/2019,1,0,2,0,0,0,0,1,100,0,,,,
Roger,ceara-sc,0,0,1,1,0.0,6.7,A/2019,0,0,0,0,0,0,0,12,100,1,,,,
Alexander,vasco-da-gama,0,0,0,0,0.0,6.7,A/2019,0,1,4,0,0,0,0,30,83,0,10,0,6,1
Claudio Winck,vasco-da-gama,0,0,0,3,0.0,6.7,A/2019,5,3,1,0,0,0,0,49,68,0,,,,
Erik Jorgens de Menezes,internacional,0,0,0,0,0.0,6.7,A/2019,7,1,2,0,0,0,0,31,83,0,,,,
Léo,sao-paulo,0,0,5,1,0.0,6.7,A/2019,5,3,9,0,0,0,0,94,82,3,,,,
Lucas Hernández,atletico-mineiro,0,1,3,2,0.0,6.7,A/2019,2,9,7,0,2,0,0,146,78,3,,,,
Ricardo Thalheimer,avai,0,1,9,10,0.0,6.7,A/2019,29,35,91,0,18,0,0,708,78,6,,,,
Ronaldo,bahia,0,0,6,4,0.0,6.69,A/2019,46,6,14,0,1,2,1,433,86,10,,,,
William Oliveira,ceara-sc,0,0,9,10,0.0,6.69,A/2019,18,16,20,0,3,0,0,258,86,1,,,,
André Luís,fortaleza,2,1,14,18,11.11,6.69,A/2019,12,7,11,0,0,0,0,173,76,11,,,,
Jean Cleber,csa,0,1,11,11,0.0,6.69,A/2019,43,17,15,0,4,2,2,485,83,8,,,,
Chico,ceara-sc,0,1,5,5,0.0,6.69,A/2019,21,6,0,0,1,2,1,183,82,9,,,,
Leonardo Valencia,botafogo,1,2,10,17,5.88,6.69,A/2019,21,12,1,0,0,1,1,261,74,15,,,,
Iury,avai,0,0,7,4,0.0,6.69,A/2019,11,24,27,0,2,1,1,242,76,9,,,,
Marcos Júnior,vasco-da-gama,3,2,26,18,16.67,6.69,A/2019,30,16,17,0,1,1,0,661,82,33,,,,
Richard Franco,avai,1,2,39,35,2.86,6.69,A/2019,54,31,33,0,10,1,1,652,73,18,,,,
Daniel Amorim,avai,1,0,3,9,11.11,6.69,A/2019,1,0,6,0,1,0,0,53,74,2,,,,
Frazan,fluminense,1,1,0,2,50.0,6.69,A/2019,6,6,30,0,10,0,0,216,85,0,,,,
Shaylon,bahia,0,0,4,2,0.0,6.69,A/2019,9,1,1,0,1,0,0,74,82,6,,,,
Rhodolfo,flamengo,0,1,0,3,0.0,6.69,A/2019,5,8,22,0,4,0,0,314,87,0,,,,
Raul,vasco-da-gama,1,4,19,20,5.0,6.69,A/2019,63,34,31,0,6,4,3,889,83,28,,,,
Michael,goias,9,8,123,62,14.52,6.69,A/2019,39,24,13,0,0,5,5,388,72,38,,,,
Braian Romero,athletico-paranaense,2,3,9,12,16.67,6.69,A/2019,13,10,8,0,2,2,1,184,74,12,,,,
Natanael,internacional,0,0,11,0,0.0,6.69,A/2019,15,4,10,0,2,0,0,181,81,0,,,,
Vagner Love,corinthians,5,4,28,21,23.81,6.69,A/2019,20,4,15,0,4,1,1,304,78,23,,,,
Martin Sarrafiore,internacional,3,0,13,16,18.75,6.68,A/2019,17,3,3,0,0,0,0,222,77,15,,,,
Juninho Quixadá,ceara-sc,0,1,2,5,0.0,6.68,A/2019,5,1,0,0,0,2,0,38,74,8,,,,
Éverton Cardoso,sao-paulo,1,1,17,7,14.29,6.68,A/2019,19,3,3,0,1,1,2,231,74,15,,,,
Henrique,vasco-da-gama,0,1,10,2,0.0,6.68,A/2019,25,25,39,0,8,2,0,551,82,16,,,,
Rafinha,goias,1,1,20,12,8.33,6.68,A/2019,4,3,0,0,1,2,0,96,82,6,,,,
Willian,palmeiras,4,6,24,20,20.0,6.68,A/2019,15,6,1,0,1,2,1,325,82,21,,,,
Bruno César,vasco-da-gama,2,2,1,7,28.57,6.68,A/2019,5,5,2,0,1,1,0,119,77,15,,,,
Renato Kayzer,chapecoense,1,1,7,8,12.5,6.68,A/2019,9,1,3,0,0,1,2,95,77,6,,,,
Leandro Carvalho,ceara-sc,3,0,45,27,11.11,6.67,A/2019,28,5,5,0,0,3,2,292,73,10,,,,
Léo,avai,0,1,35,11,0.0,6.67,A/2019,38,28,25,0,4,4,2,394,75,15,,,,
Vinicius Araujo,avai,1,4,5,17,5.88,6.67,A/2019,8,3,7,0,0,3,0,154,72,12,,,,
Ronaldo Alves,csa,0,1,1,7,0.0,6.67,A/2019,7,11,26,0,5,0,0,201,82,0,,,,
Edinho,fortaleza,3,1,41,27,11.11,6.67,A/2019,9,4,8,0,0,0,1,422,83,22,,,,
Luan Pereira,avai,0,0,11,9,0.0,6.66,A/2019,14,8,5,0,0,0,1,221,82,6,,,,
Gegê,avai,1,1,3,10,10.0,6.66,A/2019,16,6,2,0,0,1,0,180,84,7,,,,
Kieza,fortaleza,1,4,8,22,4.55,6.66,A/2019,11,3,16,0,2,0,0,181,73,11,,,,
Fernando Sobral,ceara-sc,0,0,8,8,0.0,6.66,A/2019,32,7,8,0,0,0,0,249,73,12,,,,
Bruno Silva,internacional,0,2,5,9,0.0,6.66,A/2019,32,13,8,1,1,1,0,604,89,7,,,,
Marco Ruben,athletico-paranaense,4,12,3,34,11.76,6.66,A/2019,20,2,12,0,1,3,2,165,78,11,,,,
Yago Felipe,goias,2,1,12,11,18.18,6.66,A/2019,58,33,17,0,2,1,2,690,79,26,,,,
Lucão,fluminense,0,0,1,4,0.0,6.66,A/2019,0,0,0,0,0,1,0,17,80,1,,,,
Amaral,chapecoense,0,0,0,4,0.0,6.66,A/2019,16,6,43,0,4,0,0,286,82,5,,,,
Felipe Pires,fortaleza,1,0,4,6,16.67,6.66,A/2019,4,0,3,0,0,2,1,141,79,9,,,,
Naldo,csa,0,0,15,12,0.0,6.66,A/2019,33,28,59,0,13,2,3,487,80,10,,,,
Elicarlos,chapecoense,0,1,3,18,0.0,6.66,A/2019,19,23,36,0,6,1,0,404,80,12,,,,
Aylon,chapecoense,0,0,2,1,0.0,6.66,A/2019,7,0,3,0,0,2,1,71,71,5,,,,
Ribamar,vasco-da-gama,3,8,6,29,10.34,6.65,A/2019,7,1,12,0,2,0,0,135,65,4,,,,
Vinicius Popó,cruzeiro,0,0,0,0,0.0,6.65,A/2019,0,0,0,0,0,0,0,10,83,2,,,,
Marcinho,avai,0,0,0,0,0.0,6.65,A/2019,5,0,1,0,0,0,0,27,81,0,,,,
Santiago Tréllez,internacional,0,2,4,8,0.0,6.65,A/2019,2,0,5,0,1,0,0,46,68,2,,,,
Didira,csa,0,1,9,8,0.0,6.65,A/2019,22,9,6,0,5,2,0,309,80,12,,,,
Yago,goias,0,0,19,6,0.0,6.65,A/2019,28,17,35,1,6,1,0,364,78,13,,,,
Tomás Andrade,athletico-paranaense,0,0,9,10,0.0,6.64,A/2019,9,0,2,0,0,1,1,180,79,14,,,,
Geuvânio,atletico-mineiro,0,2,35,19,0.0,6.64,A/2019,18,10,2,0,1,2,1,351,81,18,,,,
Luan Peres,santos,0,0,3,3,0.0,6.64,A/2019,11,11,23,0,5,0,0,277,83,1,,,,
Euller,csa,0,2,14,17,0.0,6.64,A/2019,8,8,7,0,1,2,0,226,80,11,,,,
Dawhan,csa,0,3,9,16,0.0,6.64,A/2019,69,27,65,0,6,1,0,906,86,20,,,,
Apodi,csa,4,0,20,33,12.12,6.63,A/2019,35,24,46,0,3,3,1,371,73,19,,,,
Leandro Barcia,goias,5,6,17,36,13.89,6.63,A/2019,70,32,35,0,6,7,3,326,66,22,,,,
Valdívia,vasco-da-gama,0,0,1,8,0.0,6.63,A/2019,8,2,0,0,0,1,1,119,78,9,,,,
Matheus Lucas,avai,0,0,0,1,0.0,6.63,A/2019,1,0,1,0,0,0,0,16,76,2,,,,
Lucas Silva,cruzeiro,0,0,0,4,0.0,6.63,A/2019,6,2,1,0,1,0,0,183,86,1,,,,
Elias,atletico-mineiro,1,1,5,16,6.25,6.63,A/2019,35,17,17,0,6,2,1,1080,90,18,,,,
Wellington Nem,fluminense,1,5,19,20,5.0,6.63,A/2019,17,5,3,0,1,0,0,200,85,8,,,,
Hélinho,sao-paulo,0,0,10,4,0.0,6.63,A/2019,5,3,0,0,0,1,0,83,84,1,,,,
Matheus Barbosa,avai,0,0,8,12,0.0,6.62,A/2019,20,14,21,1,5,2,1,374,76,14,,,,
Cassiano,csa,0,0,4,10,0.0,6.62,A/2019,5,0,5,0,1,0,0,41,61,1,,,,
Erik,botafogo,1,3,12,8,12.5,6.62,A/2019,14,4,2,0,0,0,1,179,83,9,,,,
Alan Ruschel,goias,1,1,6,4,25.0,6.62,A/2019,11,5,12,0,1,1,0,149,76,13,,,,
Patrick Fabiano,csa,0,2,4,6,0.0,6.62,A/2019,0,2,2,0,0,1,1,55,68,3,,,,
Paulo André,athletico-paranaense,0,0,0,1,0.0,6.62,A/2019,6,3,20,0,1,0,0,223,91,1,,,,
Vinícius Tanque,botafogo,0,0,3,3,0.0,6.62,A/2019,3,0,3,0,0,1,0,65,70,5,,,,
Marquinhos Gabriel,cruzeiro,0,2,27,15,0.0,6.62,A/2019,18,7,5,1,1,6,3,638,86,27,,,,
Wanderson,bahia,0,0,1,1,0.0,6.62,A/2019,2,5,22,0,5,0,0,195,85,0,,,,
